id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2990130,dongsi_aq,2018-05-08 07:00:00,35.0,67.0,16.0,0.3,152.0,2.0
2990131,tiantan_aq,2018-05-08 07:00:00,21.0,76.0,13.0,0.4,134.0,3.0
2990132,guanyuan_aq,2018-05-08 07:00:00,37.0,89.0,14.0,0.3,161.0,3.0
2990133,wanshouxigong_aq,2018-05-08 07:00:00,55.0,105.0,17.0,0.5,145.0,3.0
2990134,aotizhongxin_aq,2018-05-08 07:00:00,37.0,70.0,14.0,0.2,154.0,4.0
2990135,nongzhanguan_aq,2018-05-08 07:00:00,21.0,111.0,18.0,0.3,136.0,5.0
2990136,wanliu_aq,2018-05-08 07:00:00,37.0,78.0,,0.3,148.0,
2990137,beibuxinqu_aq,2018-05-08 07:00:00,24.0,101.0,13.0,0.4,140.0,4.0
2990138,zhiwuyuan_aq,2018-05-08 07:00:00,,,,,,
2990139,fengtaihuayuan_aq,2018-05-08 07:00:00,3.0,76.0,13.0,0.4,161.0,2.0
2990140,yungang_aq,2018-05-08 07:00:00,6.0,59.0,12.0,0.4,170.0,2.0
2990141,gucheng_aq,2018-05-08 07:00:00,31.0,63.0,15.0,0.4,150.0,3.0
2990142,fangshan_aq,2018-05-08 07:00:00,21.0,,13.0,0.3,171.0,2.0
2990143,daxing_aq,2018-05-08 07:00:00,24.0,94.0,15.0,0.5,154.0,5.0
2990144,yizhuang_aq,2018-05-08 07:00:00,58.0,67.0,18.0,0.4,149.0,6.0
2990145,tongzhou_aq,2018-05-08 07:00:00,28.0,95.0,,0.4,143.0,5.0
2990146,shunyi_aq,2018-05-08 07:00:00,27.0,88.0,23.0,0.5,160.0,8.0
2990147,pingchang_aq,2018-05-08 07:00:00,24.0,91.0,11.0,0.3,160.0,3.0
2990148,mentougou_aq,2018-05-08 07:00:00,28.0,83.0,22.0,0.4,155.0,4.0
2990149,pinggu_aq,2018-05-08 07:00:00,40.0,88.0,14.0,0.8,195.0,289.0
2990150,huairou_aq,2018-05-08 07:00:00,30.0,108.0,21.0,0.4,132.0,3.0
2990151,miyun_aq,2018-05-08 07:00:00,25.0,93.0,21.0,0.4,155.0,5.0
2990152,yanqin_aq,2018-05-08 07:00:00,46.0,100.0,15.0,0.3,166.0,3.0
2990153,dingling_aq,2018-05-08 07:00:00,23.0,,15.0,0.4,164.0,8.0
2990154,badaling_aq,2018-05-08 07:00:00,48.0,128.0,18.0,0.3,151.0,2.0
2990155,miyunshuiku_aq,2018-05-08 07:00:00,39.0,80.0,19.0,0.4,155.0,5.0
2990156,donggaocun_aq,2018-05-08 07:00:00,51.0,72.0,,0.7,188.0,14.0
2990157,yongledian_aq,2018-05-08 07:00:00,40.0,69.0,23.0,0.8,172.0,7.0
2990158,yufa_aq,2018-05-08 07:00:00,26.0,91.0,11.0,0.4,152.0,5.0
2990159,liulihe_aq,2018-05-08 07:00:00,28.0,,8.0,0.3,161.0,
2990160,qianmen_aq,2018-05-08 07:00:00,24.0,81.0,27.0,0.4,142.0,4.0
2990161,yongdingmennei_aq,2018-05-08 07:00:00,16.0,99.0,38.0,0.5,120.0,5.0
2990162,xizhimenbei_aq,2018-05-08 07:00:00,25.0,92.0,39.0,0.4,132.0,6.0
2990163,nansanhuan_aq,2018-05-08 07:00:00,27.0,75.0,64.0,0.6,107.0,4.0
2990164,dongsihuan_aq,2018-05-08 07:00:00,21.0,,41.0,0.5,121.0,5.0
2990186,dongsi_aq,2018-05-08 08:00:00,42.0,70.0,18.0,0.4,160.0,3.0
2990187,tiantan_aq,2018-05-08 08:00:00,25.0,88.0,13.0,0.5,141.0,5.0
2990188,guanyuan_aq,2018-05-08 08:00:00,42.0,102.0,15.0,0.4,170.0,4.0
2990189,wanshouxigong_aq,2018-05-08 08:00:00,49.0,107.0,19.0,0.5,153.0,4.0
2990190,aotizhongxin_aq,2018-05-08 08:00:00,45.0,64.0,15.0,0.3,166.0,4.0
2990191,nongzhanguan_aq,2018-05-08 08:00:00,17.0,107.0,19.0,0.4,145.0,5.0
2990192,wanliu_aq,2018-05-08 08:00:00,61.0,208.0,26.0,,,4.0
2990193,beibuxinqu_aq,2018-05-08 08:00:00,,,,,,
2990194,zhiwuyuan_aq,2018-05-08 08:00:00,,,,,,
2990195,fengtaihuayuan_aq,2018-05-08 08:00:00,,83.0,15.0,0.4,164.0,2.0
2990196,yungang_aq,2018-05-08 08:00:00,20.0,59.0,14.0,0.4,176.0,2.0
2990197,gucheng_aq,2018-05-08 08:00:00,38.0,64.0,15.0,0.4,155.0,3.0
2990198,fangshan_aq,2018-05-08 08:00:00,33.0,93.0,13.0,0.3,179.0,2.0
2990199,daxing_aq,2018-05-08 08:00:00,27.0,98.0,15.0,0.6,167.0,5.0
2990200,yizhuang_aq,2018-05-08 08:00:00,56.0,57.0,21.0,0.5,156.0,6.0
2990201,tongzhou_aq,2018-05-08 08:00:00,36.0,97.0,,0.4,110.0,5.0
2990202,shunyi_aq,2018-05-08 08:00:00,27.0,89.0,24.0,0.5,170.0,8.0
2990203,pingchang_aq,2018-05-08 08:00:00,26.0,93.0,12.0,0.3,166.0,3.0
2990204,mentougou_aq,2018-05-08 08:00:00,113.0,,25.0,0.4,160.0,5.0
2990205,pinggu_aq,2018-05-08 08:00:00,40.0,88.0,14.0,0.8,196.0,288.0
2990206,huairou_aq,2018-05-08 08:00:00,46.0,110.0,21.0,0.4,140.0,3.0
2990207,miyun_aq,2018-05-08 08:00:00,30.0,90.0,23.0,0.5,166.0,6.0
2990208,yanqin_aq,2018-05-08 08:00:00,39.0,114.0,15.0,0.3,169.0,3.0
2990209,dingling_aq,2018-05-08 08:00:00,,,15.0,0.4,168.0,8.0
2990210,badaling_aq,2018-05-08 08:00:00,52.0,149.0,19.0,0.3,152.0,3.0
2990211,miyunshuiku_aq,2018-05-08 08:00:00,39.0,92.0,16.0,0.4,174.0,6.0
2990212,donggaocun_aq,2018-05-08 08:00:00,38.0,70.0,,0.6,175.0,13.0
2990213,yongledian_aq,2018-05-08 08:00:00,53.0,114.0,27.0,0.8,196.0,11.0
2990214,yufa_aq,2018-05-08 08:00:00,29.0,69.0,10.0,0.4,163.0,5.0
2990215,liulihe_aq,2018-05-08 08:00:00,20.0,,9.0,0.3,167.0,
2990216,qianmen_aq,2018-05-08 08:00:00,24.0,88.0,30.0,0.4,150.0,5.0
2990217,yongdingmennei_aq,2018-05-08 08:00:00,17.0,111.0,36.0,0.6,134.0,6.0
2990218,xizhimenbei_aq,2018-05-08 08:00:00,25.0,97.0,41.0,0.5,138.0,6.0
2990219,nansanhuan_aq,2018-05-08 08:00:00,32.0,95.0,72.0,0.6,115.0,4.0
2990220,dongsihuan_aq,2018-05-08 08:00:00,24.0,87.0,36.0,0.5,136.0,5.0
2990952,dongsi_aq,2018-05-08 09:00:00,38.0,75.0,20.0,0.4,169.0,4.0
2990953,tiantan_aq,2018-05-08 09:00:00,31.0,74.0,14.0,0.5,148.0,5.0
2990954,guanyuan_aq,2018-05-08 09:00:00,38.0,96.0,18.0,0.4,173.0,4.0
2990955,wanshouxigong_aq,2018-05-08 09:00:00,50.0,100.0,19.0,0.5,163.0,4.0
2990956,aotizhongxin_aq,2018-05-08 09:00:00,44.0,73.0,17.0,0.3,175.0,5.0
2990957,nongzhanguan_aq,2018-05-08 09:00:00,29.0,119.0,20.0,0.4,155.0,5.0
2990958,wanliu_aq,2018-05-08 09:00:00,21.0,85.0,27.0,0.5,162.0,4.0
2990959,beibuxinqu_aq,2018-05-08 09:00:00,,,,,,
2990960,zhiwuyuan_aq,2018-05-08 09:00:00,,,,,,
2990961,fengtaihuayuan_aq,2018-05-08 09:00:00,,82.0,16.0,0.4,165.0,2.0
2990962,yungang_aq,2018-05-08 09:00:00,14.0,63.0,15.0,0.4,179.0,2.0
2990963,gucheng_aq,2018-05-08 09:00:00,32.0,66.0,17.0,0.4,159.0,3.0
2990964,fangshan_aq,2018-05-08 09:00:00,30.0,94.0,14.0,0.3,183.0,3.0
2990965,daxing_aq,2018-05-08 09:00:00,29.0,98.0,17.0,0.6,168.0,4.0
2990966,yizhuang_aq,2018-05-08 09:00:00,53.0,62.0,21.0,0.5,175.0,7.0
2990967,tongzhou_aq,2018-05-08 09:00:00,34.0,103.0,15.0,0.4,173.0,5.0
2990968,shunyi_aq,2018-05-08 09:00:00,36.0,98.0,23.0,0.5,180.0,8.0
2990969,pingchang_aq,2018-05-08 09:00:00,28.0,118.0,12.0,0.4,167.0,3.0
2990970,mentougou_aq,2018-05-08 09:00:00,148.0,,27.0,0.4,167.0,5.0
2990971,pinggu_aq,2018-05-08 09:00:00,38.0,78.0,14.0,0.7,189.0,
2990972,huairou_aq,2018-05-08 09:00:00,33.0,116.0,22.0,0.4,148.0,3.0
2990973,miyun_aq,2018-05-08 09:00:00,39.0,97.0,39.0,0.6,165.0,7.0
2990974,yanqin_aq,2018-05-08 09:00:00,33.0,115.0,16.0,0.4,171.0,3.0
2990975,dingling_aq,2018-05-08 09:00:00,,,16.0,0.4,170.0,8.0
2990976,badaling_aq,2018-05-08 09:00:00,66.0,162.0,19.0,0.3,157.0,3.0
2990977,miyunshuiku_aq,2018-05-08 09:00:00,39.0,94.0,15.0,0.5,183.0,6.0
2990978,donggaocun_aq,2018-05-08 09:00:00,34.0,66.0,14.0,0.6,174.0,12.0
2990979,yongledian_aq,2018-05-08 09:00:00,53.0,122.0,32.0,0.8,185.0,11.0
2990980,yufa_aq,2018-05-08 09:00:00,33.0,89.0,12.0,0.5,172.0,5.0
2990981,liulihe_aq,2018-05-08 09:00:00,29.0,107.0,12.0,,172.0,
2990982,qianmen_aq,2018-05-08 09:00:00,30.0,89.0,32.0,0.5,157.0,6.0
2990983,yongdingmennei_aq,2018-05-08 09:00:00,35.0,89.0,42.0,0.6,141.0,7.0
2990984,xizhimenbei_aq,2018-05-08 09:00:00,31.0,102.0,50.0,0.6,136.0,7.0
2990985,nansanhuan_aq,2018-05-08 09:00:00,33.0,95.0,73.0,0.7,124.0,4.0
2990986,dongsihuan_aq,2018-05-08 09:00:00,29.0,125.0,52.0,0.6,131.0,5.0
2991008,dongsi_aq,2018-05-08 10:00:00,39.0,88.0,20.0,0.4,170.0,3.0
2991009,tiantan_aq,2018-05-08 10:00:00,24.0,74.0,14.0,0.5,148.0,4.0
2991010,guanyuan_aq,2018-05-08 10:00:00,33.0,83.0,20.0,0.4,164.0,3.0
2991011,wanshouxigong_aq,2018-05-08 10:00:00,37.0,104.0,20.0,0.5,156.0,3.0
2991012,aotizhongxin_aq,2018-05-08 10:00:00,39.0,78.0,19.0,0.3,175.0,4.0
2991013,nongzhanguan_aq,2018-05-08 10:00:00,33.0,113.0,22.0,0.5,159.0,5.0
2991014,wanliu_aq,2018-05-08 10:00:00,26.0,102.0,26.0,0.5,162.0,4.0
2991015,beibuxinqu_aq,2018-05-08 10:00:00,22.0,,,0.4,148.0,4.0
2991016,zhiwuyuan_aq,2018-05-08 10:00:00,,,,,,
2991017,fengtaihuayuan_aq,2018-05-08 10:00:00,32.0,87.0,18.0,0.5,166.0,3.0
2991018,yungang_aq,2018-05-08 10:00:00,7.0,69.0,16.0,0.4,183.0,3.0
2991019,gucheng_aq,2018-05-08 10:00:00,34.0,72.0,20.0,0.5,158.0,3.0
2991020,fangshan_aq,2018-05-08 10:00:00,21.0,110.0,17.0,0.4,190.0,4.0
2991021,daxing_aq,2018-05-08 10:00:00,25.0,97.0,19.0,0.6,165.0,4.0
2991022,yizhuang_aq,2018-05-08 10:00:00,43.0,76.0,24.0,0.6,183.0,7.0
2991023,tongzhou_aq,2018-05-08 10:00:00,41.0,117.0,18.0,0.5,194.0,6.0
2991024,shunyi_aq,2018-05-08 10:00:00,32.0,106.0,26.0,0.6,183.0,8.0
2991025,pingchang_aq,2018-05-08 10:00:00,24.0,140.0,15.0,0.4,162.0,2.0
2991026,mentougou_aq,2018-05-08 10:00:00,30.0,98.0,29.0,0.4,170.0,6.0
2991027,pinggu_aq,2018-05-08 10:00:00,38.0,92.0,17.0,0.8,185.0,
2991028,huairou_aq,2018-05-08 10:00:00,28.0,118.0,22.0,0.5,152.0,3.0
2991029,miyun_aq,2018-05-08 10:00:00,37.0,101.0,44.0,0.7,165.0,8.0
2991030,yanqin_aq,2018-05-08 10:00:00,37.0,107.0,25.0,0.4,160.0,3.0
2991031,dingling_aq,2018-05-08 10:00:00,19.0,46.0,18.0,0.5,165.0,8.0
2991032,badaling_aq,2018-05-08 10:00:00,53.0,148.0,22.0,0.4,153.0,3.0
2991033,miyunshuiku_aq,2018-05-08 10:00:00,36.0,106.0,15.0,0.6,189.0,7.0
2991034,donggaocun_aq,2018-05-08 10:00:00,34.0,68.0,15.0,0.6,170.0,12.0
2991035,yongledian_aq,2018-05-08 10:00:00,45.0,129.0,46.0,0.9,134.0,12.0
2991036,yufa_aq,2018-05-08 10:00:00,26.0,93.0,13.0,0.5,164.0,5.0
2991037,liulihe_aq,2018-05-08 10:00:00,36.0,107.0,13.0,0.4,179.0,
2991038,qianmen_aq,2018-05-08 10:00:00,35.0,96.0,33.0,0.5,158.0,5.0
2991039,yongdingmennei_aq,2018-05-08 10:00:00,34.0,96.0,35.0,0.6,144.0,6.0
2991040,xizhimenbei_aq,2018-05-08 10:00:00,31.0,81.0,61.0,0.6,120.0,6.0
2991041,nansanhuan_aq,2018-05-08 10:00:00,34.0,103.0,79.0,0.7,114.0,4.0
2991042,dongsihuan_aq,2018-05-08 10:00:00,30.0,101.0,46.0,0.6,147.0,6.0
2991064,dongsi_aq,2018-05-08 11:00:00,40.0,78.0,23.0,0.4,162.0,3.0
2991065,tiantan_aq,2018-05-08 11:00:00,28.0,72.0,19.0,0.5,137.0,4.0
2991066,guanyuan_aq,2018-05-08 11:00:00,31.0,88.0,23.0,0.4,164.0,3.0
2991067,wanshouxigong_aq,2018-05-08 11:00:00,36.0,80.0,23.0,0.6,152.0,4.0
2991068,aotizhongxin_aq,2018-05-08 11:00:00,34.0,76.0,23.0,0.3,164.0,4.0
2991069,nongzhanguan_aq,2018-05-08 11:00:00,34.0,97.0,26.0,0.5,155.0,5.0
2991070,wanliu_aq,2018-05-08 11:00:00,31.0,85.0,33.0,0.6,156.0,4.0
2991071,beibuxinqu_aq,2018-05-08 11:00:00,23.0,,,0.4,145.0,4.0
2991072,zhiwuyuan_aq,2018-05-08 11:00:00,,,,,,
2991073,fengtaihuayuan_aq,2018-05-08 11:00:00,45.0,102.0,29.0,0.5,159.0,3.0
2991074,yungang_aq,2018-05-08 11:00:00,3.0,73.0,21.0,0.5,175.0,4.0
2991075,gucheng_aq,2018-05-08 11:00:00,34.0,81.0,25.0,0.5,155.0,4.0
2991076,fangshan_aq,2018-05-08 11:00:00,28.0,120.0,22.0,0.5,183.0,4.0
2991077,daxing_aq,2018-05-08 11:00:00,27.0,92.0,20.0,0.6,161.0,5.0
2991078,yizhuang_aq,2018-05-08 11:00:00,39.0,88.0,28.0,0.6,173.0,6.0
2991079,tongzhou_aq,2018-05-08 11:00:00,,127.0,34.0,0.7,143.0,8.0
2991080,shunyi_aq,2018-05-08 11:00:00,33.0,110.0,38.0,0.7,173.0,10.0
2991081,pingchang_aq,2018-05-08 11:00:00,22.0,96.0,20.0,0.4,153.0,3.0
2991082,mentougou_aq,2018-05-08 11:00:00,34.0,94.0,42.0,0.5,157.0,8.0
2991083,pinggu_aq,2018-05-08 11:00:00,40.0,116.0,21.0,0.8,176.0,
2991084,huairou_aq,2018-05-08 11:00:00,28.0,122.0,28.0,0.6,147.0,4.0
2991085,miyun_aq,2018-05-08 11:00:00,43.0,98.0,33.0,0.8,175.0,9.0
2991086,yanqin_aq,2018-05-08 11:00:00,34.0,103.0,26.0,0.4,155.0,3.0
2991087,dingling_aq,2018-05-08 11:00:00,12.0,60.0,19.0,0.5,150.0,8.0
2991088,badaling_aq,2018-05-08 11:00:00,41.0,150.0,33.0,0.4,140.0,3.0
2991089,miyunshuiku_aq,2018-05-08 11:00:00,40.0,81.0,14.0,0.6,187.0,8.0
2991090,donggaocun_aq,2018-05-08 11:00:00,37.0,69.0,17.0,0.7,140.0,11.0
2991091,yongledian_aq,2018-05-08 11:00:00,56.0,92.0,37.0,0.6,175.0,10.0
2991092,yufa_aq,2018-05-08 11:00:00,25.0,100.0,16.0,0.5,142.0,5.0
2991093,liulihe_aq,2018-05-08 11:00:00,27.0,107.0,15.0,0.5,176.0,
2991094,qianmen_aq,2018-05-08 11:00:00,36.0,91.0,39.0,0.6,145.0,4.0
2991095,yongdingmennei_aq,2018-05-08 11:00:00,20.0,81.0,35.0,0.5,139.0,6.0
2991096,xizhimenbei_aq,2018-05-08 11:00:00,33.0,129.0,97.0,0.7,89.0,7.0
2991097,nansanhuan_aq,2018-05-08 11:00:00,34.0,117.0,91.0,0.7,100.0,4.0
2991098,dongsihuan_aq,2018-05-08 11:00:00,32.0,92.0,44.0,0.6,149.0,6.0
2991120,dongsi_aq,2018-05-08 12:00:00,40.0,78.0,27.0,0.5,153.0,4.0
2991121,tiantan_aq,2018-05-08 12:00:00,72.0,73.0,25.0,0.6,123.0,4.0
2991122,guanyuan_aq,2018-05-08 12:00:00,29.0,107.0,29.0,0.5,159.0,4.0
2991123,wanshouxigong_aq,2018-05-08 12:00:00,51.0,136.0,30.0,0.6,132.0,4.0
2991124,aotizhongxin_aq,2018-05-08 12:00:00,32.0,77.0,28.0,0.4,158.0,5.0
2991125,nongzhanguan_aq,2018-05-08 12:00:00,37.0,90.0,34.0,0.6,129.0,6.0
2991126,wanliu_aq,2018-05-08 12:00:00,31.0,111.0,40.0,0.7,145.0,5.0
2991127,beibuxinqu_aq,2018-05-08 12:00:00,27.0,,,0.5,136.0,5.0
2991128,zhiwuyuan_aq,2018-05-08 12:00:00,,,,,,
2991129,fengtaihuayuan_aq,2018-05-08 12:00:00,62.0,116.0,47.0,0.6,134.0,4.0
2991130,yungang_aq,2018-05-08 12:00:00,27.0,78.0,27.0,0.6,160.0,4.0
2991131,gucheng_aq,2018-05-08 12:00:00,36.0,89.0,34.0,0.6,143.0,4.0
2991132,fangshan_aq,2018-05-08 12:00:00,31.0,135.0,52.0,0.6,144.0,4.0
2991133,daxing_aq,2018-05-08 12:00:00,27.0,113.0,28.0,0.6,136.0,6.0
2991134,yizhuang_aq,2018-05-08 12:00:00,35.0,73.0,36.0,0.7,123.0,6.0
2991135,tongzhou_aq,2018-05-08 12:00:00,38.0,154.0,47.0,0.8,109.0,8.0
2991136,shunyi_aq,2018-05-08 12:00:00,40.0,135.0,51.0,0.9,127.0,13.0
2991137,pingchang_aq,2018-05-08 12:00:00,24.0,99.0,23.0,0.5,142.0,3.0
2991138,mentougou_aq,2018-05-08 12:00:00,34.0,108.0,44.0,0.6,156.0,8.0
2991139,pinggu_aq,2018-05-08 12:00:00,40.0,78.0,29.0,0.9,138.0,
2991140,huairou_aq,2018-05-08 12:00:00,37.0,129.0,32.0,0.8,136.0,6.0
2991141,miyun_aq,2018-05-08 12:00:00,47.0,96.0,40.0,0.8,156.0,8.0
2991142,yanqin_aq,2018-05-08 12:00:00,33.0,96.0,24.0,0.4,150.0,3.0
2991143,dingling_aq,2018-05-08 12:00:00,18.0,65.0,19.0,0.5,116.0,6.0
2991144,badaling_aq,2018-05-08 12:00:00,38.0,110.0,38.0,0.3,134.0,2.0
2991145,miyunshuiku_aq,2018-05-08 12:00:00,39.0,97.0,17.0,0.7,174.0,7.0
2991146,donggaocun_aq,2018-05-08 12:00:00,38.0,76.0,26.0,0.8,112.0,11.0
2991147,yongledian_aq,2018-05-08 12:00:00,50.0,119.0,42.0,0.6,139.0,8.0
2991148,yufa_aq,2018-05-08 12:00:00,27.0,93.0,20.0,0.4,120.0,6.0
2991149,liulihe_aq,2018-05-08 12:00:00,28.0,122.0,20.0,0.6,159.0,
2991150,qianmen_aq,2018-05-08 12:00:00,38.0,97.0,44.0,0.6,134.0,5.0
