stationid,time,PM25,PM10,NO2,CO,O3,SO2,temperature,pressure,humidity,winddirection,windspeed,weather
dongsi_aq,2018-03-31 07:00:00,105.0,172.0,53.0,0.8,127.0,14.0,22.0,1006.9070272240001,18.0,160.61493463999997,9.93906358,PARTLY_CLOUDY_NIGHT
dongsi_aq,2018-03-31 08:00:00,99.0,171.0,41.0,0.8,148.0,13.0,23.0,1006.0132192957001,18.0,173.50455553999998,10.52359795,PARTLY_CLOUDY_NIGHT
dongsi_aq,2018-03-31 09:00:00,104.0,173.0,39.0,0.8,157.0,12.0,23.0,1005.387724511,19.0,183.33253449,9.994473000000001,CLEAR_NIGHT
dongsi_aq,2018-03-31 10:00:00,103.0,197.0,50.0,0.8,141.0,12.0,24.0,1005.2957503987,21.0,189.69891768000002,9.82097628,CLOUDY
dongsi_aq,2018-03-31 11:00:00,128.0,213.0,56.0,0.9,135.0,14.0,21.0,1005.4674829679,24.0,191.3350862,6.04285686,CLOUDY
dongsi_aq,2018-03-31 12:00:00,133.0,198.0,60.0,1.0,123.0,15.0,19.721014,1005.8947181894,27.0,174.19092881,2.1003714,CLEAR_NIGHT
dongsi_aq,2018-03-31 13:00:00,156.0,209.0,88.0,1.3,80.0,14.0,17.110662,1006.3345933639,28.759662,70.67080906,1.60312408,PARTLY_CLOUDY_NIGHT
dongsi_aq,2018-03-31 14:00:00,167.0,229.0,119.0,1.6,38.0,13.0,15.110662000000001,1007.2077740972002,30.049095,37.432728819999994,3.1968545600000002,PARTLY_CLOUDY_NIGHT
dongsi_aq,2018-03-31 15:00:00,178.0,233.0,140.0,1.8,15.0,12.0,14.350999999999999,1007.4532693475,30.938433,36.407270690000004,4.48497066,RAIN
dongsi_aq,2018-03-31 17:00:00,193.0,257.0,161.0,2.6,2.0,9.0,12.2,1007.5857919381,37.457757,64.56962311,4.95538057,HAZE
dongsi_aq,2018-03-31 18:00:00,163.0,256.0,162.0,2.1,2.0,9.0,11.600000000000001,1007.7902719859001,40.685623,70.63948196,4.82659665,CLEAR_NIGHT
dongsi_aq,2018-03-31 19:00:00,170.0,261.0,160.0,1.9,2.0,10.0,11.2,1008.0047666704,43.787718000000005,77.64867736,4.645366150000001,CLEAR_NIGHT
dongsi_aq,2018-03-31 20:00:00,156.0,253.0,154.0,1.5,2.0,11.0,11.0,1007.685865941,45.956042,84.92247277999999,4.111267700000001,RAIN
dongsi_aq,2018-03-31 21:00:00,175.0,252.0,138.0,1.5,2.0,12.0,11.0,1007.5957814048,47.134813,93.92200682000001,3.88370486,PARTLY_CLOUDY_DAY
dongsi_aq,2018-03-31 22:00:00,179.0,248.0,125.0,1.5,2.0,9.0,9.0,1007.9493693453,50.49438000000001,101.7303634,4.09168349,PARTLY_CLOUDY_NIGHT
dongsi_aq,2018-03-31 23:00:00,200.0,253.0,113.0,1.7,2.0,9.0,9.759661999999999,1008.331791265,49.445285,115.14108453000001,4.406510580000001,WIND
dongsi_aq,2018-04-01 02:00:00,259.0,NaN,98.0,3.4,56.0,57.0,5.0,1007.7218910591,36.947,139.10413764,5.46424942,HAZE
dongsi_aq,2018-04-01 03:00:00,275.0,NaN,95.0,3.6,100.0,58.0,20.0,1006.9124071702001,31.008567,157.00964335,6.13723658,HAZE
dongsi_aq,2018-04-01 04:00:00,265.0,NaN,79.0,3.0,159.0,48.0,21.0,1006.0367039399,31.649,166.88732650000003,6.97097424,HAZE
dongsi_aq,2018-04-01 05:00:00,270.0,NaN,66.0,2.0,199.0,33.0,22.0,1004.5929651245001,27.008567,184.76037028000002,9.974593039999998,HAZE
dongsi_aq,2018-04-01 06:00:00,251.0,252.0,56.0,1.8,224.0,23.0,22.0,1003.7524898234001,22.359567,195.23746,12.60340125,HAZE
dongsi_aq,2018-04-01 08:00:00,169.0,181.0,29.0,0.9,236.0,13.0,27.351,1001.3847947849,17.240338,202.07480364,16.99754286,HAZE
dongsi_aq,2018-04-01 09:00:00,137.0,183.0,26.0,0.9,237.0,11.0,27.0,1000.8420705177,16.889338000000002,204.14628526,17.11814034,HAZE
dongsi_aq,2018-04-01 10:00:00,104.0,151.0,27.0,0.7,198.0,8.0,26.000000000000004,1000.8022839158,18.0,203.44204696999998,15.01959693,PARTLY_CLOUDY_DAY
dongsi_aq,2018-04-01 11:00:00,84.0,148.0,29.0,0.7,175.0,6.0,23.0,1001.1284863230999,21.289433000000002,202.71989242,12.526685009999998,PARTLY_CLOUDY_NIGHT
dongsi_aq,2018-04-01 12:00:00,117.0,197.0,47.0,0.9,169.0,9.0,21.480676000000003,1001.7086012595,23.289433000000002,202.0612392,10.35655836,PARTLY_CLOUDY_NIGHT
dongsi_aq,2018-04-01 13:00:00,160.0,238.0,60.0,1.2,153.0,12.0,19.0,1001.6146615044001,24.529771,203.47057745,9.47267633,PARTLY_CLOUDY_NIGHT
dongsi_aq,2018-04-01 15:00:00,159.0,211.0,83.0,1.2,94.0,11.0,20.0,1001.8581632293999,24.289433000000002,204.13407183,9.23535281,HAZE
dongsi_aq,2018-04-01 17:00:00,145.0,208.0,102.0,1.0,44.0,14.0,12.2,1000.9036754841,32.787243000000004,159.64639396,6.83134726,RAIN
dongsi_aq,2018-04-01 18:00:00,138.0,206.0,101.0,1.0,23.0,15.0,11.9,1000.7474496625,34.076676000000006,142.21497204000002,5.90077862,RAIN
dongsi_aq,2018-04-01 19:00:00,156.0,229.0,114.0,1.0,4.0,10.0,11.400000000000002,1000.5781697924999,36.387147999999996,123.25225201999999,5.11290994,WIND
dongsi_aq,2018-04-01 20:00:00,219.0,270.0,115.0,1.3,2.0,9.0,11.1,1000.4225905314,38.506377,106.9338772,4.79115673,PARTLY_CLOUDY_DAY
dongsi_aq,2018-04-01 21:00:00,249.0,266.0,99.0,1.7,2.0,8.0,11.0,1000.5785209160999,41.036148000000004,89.63430985,4.859857590000001,CLOUDY
