test_id,PM2.5,PM10,O3
qianmen_aq#0,47.058978982269764,116.06209045648575,3.2492014169692993
qianmen_aq#1,44.94542022049427,123.41953328251839,6.167618431150914
qianmen_aq#2,45.1999371573329,134.94606280326843,15.608226604759693
qianmen_aq#3,42.605607591569424,140.2236225605011,30.788820922374725
qianmen_aq#4,40.93511272966862,143.7580286860466,45.091359317302704
qianmen_aq#5,40.120242953300476,146.58580791950226,56.610975950956345
qianmen_aq#6,39.024216912686825,149.4225636124611,63.42508226633072
qianmen_aq#7,39.00389213860035,152.96675407886505,65.52097603678703
qianmen_aq#8,39.64928303658962,156.7796847820282,64.01738160848618
qianmen_aq#9,40.6266265809536,160.48551136255264,60.121901988983154
qianmen_aq#10,41.643748700618744,163.7251604795456,54.63962519168854
qianmen_aq#11,42.60138648375869,166.4336126446724,47.56824603676796
qianmen_aq#12,43.386235691607,168.54064202308655,39.02621753513813
qianmen_aq#13,43.87549848109484,169.93458145856857,29.998215451836586
qianmen_aq#14,43.939203925430775,170.39897859096527,21.580368623137474
qianmen_aq#15,43.563609316945076,169.80345034599304,14.832285664975643
qianmen_aq#16,42.92712722718716,168.22402733564377,9.431717470288277
qianmen_aq#17,42.34000441431999,165.93360888957977,5.215604215860367
qianmen_aq#18,41.87134635448456,163.1939485669136,1.8436931818723679
qianmen_aq#19,41.38034161925316,160.16734075546265,-0.860324963927269
qianmen_aq#20,40.73694151639938,156.8483247756958,-3.028694748878479
qianmen_aq#21,39.81769186258316,153.11247193813324,-4.402924805879593
qianmen_aq#22,38.79194089025259,149.0494720339775,-4.958644583821297
qianmen_aq#23,38.12614434212446,144.26497423648834,-4.665142968297005
qianmen_aq#24,38.02664813399315,138.746994972229,-3.638035014271736
qianmen_aq#25,35.05864632129669,142.06282430887222,-1.6013453304767609
qianmen_aq#26,36.24781668931246,149.36711901426315,7.377468593418599
qianmen_aq#27,35.45023572444916,152.1210668683052,20.190060332417488
qianmen_aq#28,35.68734564632177,153.2163445353508,32.19454279541969
qianmen_aq#29,36.304143749177456,153.3213990330696,42.8256392031908
qianmen_aq#30,36.36201989650726,153.53503876924515,49.950298607349396
qianmen_aq#31,37.072774197906256,154.2159481048584,53.59285727143288
qianmen_aq#32,37.63621899113059,154.46395272016525,55.8808511197567
qianmen_aq#33,38.817385740578175,155.57285964488983,54.78804290294647
qianmen_aq#34,40.25916312634945,156.4652693271637,51.590257346630096
qianmen_aq#35,41.737736005336046,157.16190242767334,46.48348221182823
qianmen_aq#36,42.892947763204575,157.57493925094604,40.210417956113815
qianmen_aq#37,43.37055195868015,157.42391031980515,33.96280826628208
qianmen_aq#38,43.07481934130192,156.35702818632126,28.917914286255836
qianmen_aq#39,42.475757978856564,154.49659711122513,25.286604583263397
qianmen_aq#40,42.09997673332691,152.23590570688248,22.221035860478878
qianmen_aq#41,42.221996922045946,150.01888477802277,18.483395121991634
qianmen_aq#42,42.46977937221527,147.98264974355698,14.005621537566185
qianmen_aq#43,42.366052724421024,145.82473880052567,9.422716982662678
qianmen_aq#44,41.80420056730509,143.43004381656647,5.437476456165314
qianmen_aq#45,41.046056009829044,140.7577069401741,1.8682219833135605
qianmen_aq#46,40.30750523135066,137.89870458841324,-1.089168131351471
qianmen_aq#47,39.71167580038309,134.63417571783066,-2.968454122543335
