test_id,PM2.5,PM10,O3
GR9#0,7.64194040298462,14.159516180306674,0.0
GR9#1,6.717337691783905,13.16342507749796,0.0
GR9#2,5.5406716704368595,12.005717411637308,0.0
GR9#3,5.189996373653412,10.671130047738554,0.0
GR9#4,4.437169682979584,10.311616721749306,0.0
GR9#5,4.665830683708191,11.604367076605559,0.0
GR9#6,4.8704455494880685,13.104752957820894,0.0
GR9#7,4.91069587469101,14.124458628147842,0.0
GR9#8,4.4963716864585885,14.518335840851071,0.0
GR9#9,3.743056511878968,14.333107205480339,0.0
GR9#10,2.978189909458161,13.953225566446783,0.0
GR9#11,2.463365304470063,13.750690227746965,0.0
GR9#12,2.3102620959281928,13.830262137949468,0.0
GR9#13,2.4439784824848183,14.130821386724712,0.0
GR9#14,2.771491968631745,14.494898432493212,0.0
GR9#15,3.205852419137955,14.888922861963513,0.0
GR9#16,3.6908729553222663,15.4033905684948,0.0
GR9#17,4.248270523548126,16.108691128343345,0.0
GR9#18,4.792252564430237,16.934235349297527,0.0
GR9#19,5.227626478672028,17.67518731877208,0.0
GR9#20,5.426205480098725,18.127334924042227,0.0
GR9#21,5.2801169753074655,18.14926024153829,0.0
GR9#22,4.697428667545319,17.702619541436437,0.0
GR9#23,4.62706265449524,17.086040788143876,0.0
GR9#24,5.820458781719208,14.371071664988996,0.0
GR9#25,5.191100609302521,12.508979177474977,0.0
GR9#26,4.695787286758423,11.875486714765431,0.0
GR9#27,4.283877444267273,10.717603137344124,0.0
GR9#28,2.8738620996475226,9.989721022546293,0.0
GR9#29,2.48103775382042,10.471860925108196,0.0
GR9#30,2.4075789451599126,11.467877171933653,0.0
GR9#31,2.534304022789002,12.224263197556139,0.0
GR9#32,2.5446155250072486,12.838435330986979,0.0
GR9#33,2.3779199242591864,13.099812462925913,0.0
GR9#34,2.110474985837937,13.054838988184931,0.0
GR9#35,1.9282208919525152,12.962511618435384,0.0
GR9#36,1.9195638716220862,13.072717092186215,0.0
GR9#37,2.1061553657054906,13.479397173225882,0.0
GR9#38,2.4765356540679937,14.192522678524258,0.0
GR9#39,3.021245741844178,15.199747361242773,0.0
GR9#40,3.7427729666233067,16.516274471580985,0.0
GR9#41,4.67909461259842,18.15783624202013,0.0
GR9#42,5.869297814369202,20.116562813520435,0.0
GR9#43,7.325064074993134,22.34752312973142,0.0
GR9#44,8.97504667043686,24.709865677356724,0.0
GR9#45,10.506071269512177,26.811105564981702,0.0
GR9#46,11.32119369506836,27.99550936967135,0.0
GR9#47,11.762070071697236,27.977187120169404,0.0
