id,station_id,forecast_time,weather,temperature,pressure,humidity,wind_speed,wind_direction
83068761,beijing_grid_000,2018-05-10 00:00:00,PARTLY_CLOUDY_NIGHT,20.55,978.237109375,40.0,3.97,173.65
83068762,beijing_grid_000,2018-05-10 01:00:00,PARTLY_CLOUDY_NIGHT,21.7,978.227469626383,38.0,6.64,171.5
83068763,beijing_grid_000,2018-05-10 02:00:00,PARTLY_CLOUDY_NIGHT,23.25,978.079150673252,36.0,8.8,171.14
83068764,beijing_grid_000,2018-05-10 03:00:00,CLOUDY,24.3,977.705234375,33.0,10.49,172.13
83068765,beijing_grid_000,2018-05-10 04:00:00,PARTLY_CLOUDY_NIGHT,25.55,977.060572799227,30.0,11.82,174.4
83068766,beijing_grid_000,2018-05-10 05:00:00,PARTLY_CLOUDY_DAY,26.6,976.267098846351,26.0,13.14,177.11
83068767,beijing_grid_000,2018-05-10 06:00:00,PARTLY_CLOUDY_DAY,27.0,975.488515625,23.0,14.81,179.34
83068768,beijing_grid_000,2018-05-10 07:00:00,PARTLY_CLOUDY_DAY,26.8,974.858789523935,21.0,16.93,180.42
83068769,beijing_grid_000,2018-05-10 08:00:00,PARTLY_CLOUDY_DAY,26.4,974.392940052456,22.0,18.5,180.31
83068770,beijing_grid_000,2018-05-10 09:00:00,PARTLY_CLOUDY_DAY,26.1,974.07625,24.0,18.31,178.92
83068771,beijing_grid_000,2018-05-10 10:00:00,CLOUDY,25.4,973.909526628184,29.0,15.66,175.62
83068772,beijing_grid_000,2018-05-10 11:00:00,CLOUDY,24.0,973.955675087344,34.0,11.73,170.6
83068773,beijing_grid_000,2018-05-10 12:00:00,CLOUDY,22.3,974.293125,38.0,8.08,166.78
83068774,beijing_grid_000,2018-05-10 13:00:00,CLOUDY,20.6,974.929212180925,40.0,5.74,174.04
83068775,beijing_grid_000,2018-05-10 14:00:00,CLOUDY,18.9,975.58689721391,41.0,4.7,194.56
83068776,beijing_grid_000,2018-05-10 15:00:00,CLOUDY,17.2,975.918046875,42.0,4.28,216.78
83068777,beijing_grid_000,2018-05-10 16:00:00,CLOUDY,16.0,975.685968398116,42.0,3.28,240.02
83068778,beijing_grid_000,2018-05-10 17:00:00,CLOUDY,15.8,975.099730848683,43.0,2.27,277.66
83068779,beijing_grid_000,2018-05-10 18:00:00,CLOUDY,15.6,974.47984375,44.0,2.03,322.57
83068780,beijing_grid_000,2018-05-10 19:00:00,CLOUDY,15.2,974.084058323832,45.0,1.76,354.13
83068781,beijing_grid_000,2018-05-10 20:00:00,CLOUDY,15.1,973.919092585802,46.0,1.38,33.8
83068782,beijing_grid_000,2018-05-10 21:00:00,CLOUDY,15.0,973.92890625,48.0,1.6,71.68
83068783,beijing_grid_000,2018-05-10 22:00:00,CLOUDY,15.89,974.056719024149,50.0,2.08,80.82
83068784,beijing_grid_000,2018-05-10 23:00:00,RAIN,17.13,974.242790590516,52.0,2.59,80.53
