id,station_id,forecast_time,weather,temperature,pressure,humidity,wind_speed,wind_direction
80502897,london_grid_000,2018-05-09 00:00:00,CLEAR_NIGHT,10.95,1012.0934375,82.0,19.92,304.68
80502898,london_grid_000,2018-05-09 01:00:00,PARTLY_CLOUDY_NIGHT,10.85,1011.88815353726,82.0,18.95,302.16
80502899,london_grid_000,2018-05-09 02:00:00,PARTLY_CLOUDY_NIGHT,10.75,1011.66922594749,83.0,17.92,298.45
80502900,london_grid_000,2018-05-09 03:00:00,CLOUDY,10.64,1011.493984375,83.0,17.24,295.32
80502901,london_grid_000,2018-05-09 04:00:00,CLOUDY,10.5,1011.39959352135,83.0,17.03,294.35
80502902,london_grid_000,2018-05-09 05:00:00,CLOUDY,10.4,1011.34255831708,83.0,16.79,294.24
80502903,london_grid_000,2018-05-09 06:00:00,CLOUDY,10.44,1011.25921875,82.0,15.88,292.7
80502904,london_grid_000,2018-05-09 07:00:00,CLOUDY,10.67,1011.10657133568,82.0,14.07,286.88
80502905,london_grid_000,2018-05-09 08:00:00,CLOUDY,10.98,1010.92423870085,81.0,12.7,274.25
80502906,london_grid_000,2018-05-09 09:00:00,CLOUDY,11.24,1010.7725,80.0,13.75,257.8
80502907,london_grid_000,2018-05-09 10:00:00,CLOUDY,11.35,1010.68436997852,79.0,17.96,247.0
80502908,london_grid_000,2018-05-09 11:00:00,CLOUDY,11.38,1010.58380574527,79.0,23.59,242.92
80502909,london_grid_000,2018-05-09 12:00:00,CLOUDY,11.44,1010.3675,79.0,28.79,242.36
80502910,london_grid_000,2018-05-09 13:00:00,CLOUDY,11.59,1009.97441229191,80.0,32.27,243.52
80502911,london_grid_000,2018-05-09 14:00:00,WIND,11.73,1009.51256956807,81.0,33.91,245.2
80502912,london_grid_000,2018-05-09 15:00:00,WIND,11.74,1009.132265625,82.0,33.84,246.53
80502913,london_grid_000,2018-05-09 16:00:00,CLOUDY,11.54,1008.93324127051,83.0,32.36,246.59
